title;char;price
Смартфон Xiaomi Redmi 9T 4/64GB, серый;Диагональ экрана: 6.53Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 48Процессор: Snapdragon 662 (8 ядер), 2.0 ГГц;14990
Смартфон Poco X3 Pro 8/256GB, черный;Диагональ экрана: 6.67Оперативная память: 8 ГБВстроенная память: 256 ГБРазрешение основной камеры: 48Беспроводные интерфейсы: Bluetooth, GPS, NFC, Wi-Fi, ИК-порт;26170
Смартфон Honor 10X Lite 4/128GB, черный;Диагональ экрана: 6.67Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Kirin 710A (8 ядер), 2.0 ГГц;16990
Смартфон realme C21 4/64GB, черный;Диагональ экрана: 6.5Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 13Процессор: Helio G35 (8 ядер), 2.3 ГГц;10490
Смартфон Xiaomi Redmi 9C 3/64GB, черный;Диагональ экрана: 6.53Оперативная память: 3 ГБВстроенная память: 64 ГБРазрешение основной камеры: 13Процессор: Helio G35 (8 ядер), 2.3 ГГц;9750
Смартфон Apple iPhone 12 128GB, фиолетовый;Диагональ экрана: 6.1Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 12Процессор: A14 Bionic (6 ядер), 2.66 ГГц;72616
Смартфон Poco M3 Pro 6/128GB, синий;Диагональ экрана: 6.53Оперативная память: 6 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Dimensity 700 (8 ядер), 2.2 ГГц;17432
Смартфон Apple iPhone 11 128GB, фиолетовый;Диагональ экрана: 6.1Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 12Процессор: A13 Bionic (6 ядер), 2.65 ГГц;52509
Смартфон Huawei P40 lite 6/128GB, зеленый;Диагональ экрана: 6.4Оперативная память: 6 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Kirin 810 (8 ядер), 2.27 ГГц;17400
Смартфон Samsung Galaxy A02 2/32GB, синий;Диагональ экрана: 6.5Оперативная память: 2 ГБВстроенная память: 32 ГБРазрешение основной камеры: 13Процессор: MT6739 (4 ядра), 1.5 ГГц;8091
Смартфон Poco M3 4/64GB, синий;Диагональ экрана: 6.53Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 48Процессор: Snapdragon 662 (8 ядер), 2.0 ГГц;11990
Смартфон Poco M3 Pro 6/128GB, синий;Диагональ экрана: 6.53Оперативная память: 6 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Dimensity 700 (8 ядер), 2.2 ГГц;17432
Смартфон Poco M3 Pro 6/128GB, черный;Диагональ экрана: 6.53Оперативная память: 6 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Dimensity 700 (8 ядер), 2.2 ГГц;17438
Смартфон Nokia G20 4/64GB, синий;Диагональ экрана: 6.5Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 48Процессор: Helio G35 (8 ядер), 2.3 ГГц;12171
Смартфон ZTE Blade L210 1/32GB, черный;Диагональ экрана: 6Оперативная память: 1 ГБВстроенная память: 32 ГБРазрешение основной камеры: 5Процессор: SC7731E (4 ядра), 1.3 ГГц;5280
